data,dia,dia_semana,eventos,categorias,tags
2026-08-11,11,,Logistique,feira|logística,logística|transporte|santa catarina
2026-08-11,11,,Encatho & Exprotel,feira|hotelaria,hotelaria|turismo|hospitalidade
2026-08-12,12,,Pet South America,feira|pet,pet|animais|veterinária
2026-08-12,12,,ABCASA Fair,feira|casa e decoração,casa|decoração|utilidades
2026-08-12,12,,Travel Next Minas,feira|turismo,turismo|viagens|minas gerais
2026-08-12,12,,Pet Vet,congresso|veterinária,veterinária|saúde animal|pets
2026-08-13,13,,Salão de Arte,feira|arte,arte|cultura|galerias
2026-08-15,15,,Estética In Sul,feira|beleza,beleza|estética|sul
2026-08-15,15,,RIO PIPELINE,feira|petróleo e gás,petróleo|gás|pipeline|energia
2026-08-17,17,,SET Expo,feira|broadcast,broadcast|TV|rádio|tecnologia
2026-08-17,17,,MOVELSUL,feira|móveis,móveis|decoração|sul
2026-08-17,17,,Congresso Fenabrave,congresso|automotivo,automotivo|concessionárias|veículos
2026-08-18,18,,Navalshore,feira|naval,naval|offshore|petróleo
2026-08-18,18,,FEBRATEX,feira|têxtil,têxtil|moda|tecnologia
2026-08-18,18,,FEBRATEX Summit,congresso|têxtil,têxtil|moda|negócios
2026-08-18,18,,CONARH | ABRH,congresso|recursos humanos,RH|gestão de pessoas|trabalho
2026-08-19,19,,Jornada Bett Nordeste,congresso|educação,educação|tecnologia|nordeste
2026-08-19,19,,IT Forum Praia do Forte,congresso|tecnologia,tecnologia|TI|bahia
2026-08-20,20,,Festa do Peão de Barretos,evento|rodeio,rodeio|cultura|entretenimento
2026-08-24,24,,FEBRABAN TECH,feira|tecnologia bancária,bancos|tecnologia|fintech
2026-08-25,25,,Concrete Show,feira|construção,concreto|construção|engenharia
2026-08-25,25,,INTERPLAST,feira|plásticos,plásticos|indústria|tecnologia
2026-08-25,25,,PL Connection,feira|marca própria,marca própria|varejo|produtos
2026-08-25,25,,Cachoeiro Stone Fair,feira|rochas,rochas|mármores|granito
2026-08-25,25,,Intersolar South America,feira|energia solar,energia solar|sustentabilidade|tecnologia
2026-08-25,25,,EXPOFRUIT,feira|frutas,frutas|hortaliças|agro|nordeste
2026-08-26,26,,Startup Summit,congresso|startups,startups|empreendedorismo|inovação
2026-08-27,27,,Fitness Brasil Expo,feira|fitness,fitness|esportes|saúde
2026-08-28,28,,Mara Cakes Fair Nordeste,feira|confeitaria,confeitaria|gastronomia|nordeste
2026-08-29,29,,Expointer,feira|agropecuário,agro|pecuária|sul
2026-09-01,01,,ISC Brasil,congresso|segurança,segurança|tecnologia|proteção
2026-09-04,04,,Bienal do Livro de São Paulo,feira|livros,livros|literatura|cultura
2026-09-04,04,,ART MUNDI,feira|arte,arte|cultura|santos
2026-09-05,05,,Mara Cakes Fair Nordeste,feira|confeitaria,confeitaria|gastronomia|nordeste
2026-09-05,05,,Beauty Fair,feira|beleza,beleza|cosméticos|estética
2026-09-08,08,,ExpoPostos & Conveniência,feira|postos de combustível,postos|conveniência|varejo
2026-09-08,08,,Feira Construir Aí,feira|construção,construção|materiais|santa catarina
2026-09-08,08,,Glass South America,feira|vidro,vidro|construção|indústria
2026-09-08,08,,E-squadria Show,feira|esquadrias,esquadrias|alumínio|construção
2026-09-09,09,,Geronto Fair,feira|gerontologia,gerontologia|saúde|idosos
2026-09-09,09,,Logística do Futuro,congresso|logística,logística|supply chain|inovação
2026-09-09,09,,FESQUA,feira|esquadrias,esquadrias|construção|alumínio
2026-09-14,14,,FIEE,feira|elétrica e eletrônica,elétrica|eletrônica|energia|automação
2026-09-14,14,,VICTAM LatAm,feira|alimentação animal,ração|alimentação animal|agro
2026-09-14,14,,SIM - Semana Industrial Mineira,feira|indústria,indústria|manufatura|minas gerais
2026-09-15,15,,Expolux,feira|iluminação,iluminação|design|tecnologia
2026-09-15,15,,YES Móvel Show Campinas,feira|móveis,móveis|decoração|campinas
2026-09-15,15,,Welding Show Brasil,feira|soldagem,soldagem|metalurgia|indústria
2026-09-15,15,,ACAPS Trade Show,feira|autopeças,autopeças|automotivo|espírito santo
2026-09-15,15,,Equipotel,feira|hotelaria,hotelaria|turismo|hospitalidade
2026-09-15,15,,Intra-Log Expo South America,feira|logística,logística|armazenagem|supply chain
2026-09-15,15,,LABEL & PACK EXPO,feira|embalagens,embalagens|rótulos|indústria
2026-09-15,15,,INTERFORM,feira|ferramentaria,ferramentaria|moldes|indústria
2026-09-15,15,,CONSTRUMETAL,feira|construção,construção|metal|estruturas
2026-09-16,16,,CHINA HOME LIFE BRASIL,feira|utilidades,utilidades|casa|importação
2026-09-16,16,,iFood Move,congresso|delivery,delivery|foodtech|tecnologia
2026-09-16,16,,HIS – Healthcare Innovation Show,feira|saúde,saúde|inovação|tecnologia
2026-09-17,17,,Agile Trends,congresso|tecnologia,tecnologia|agile|gestão
2026-09-17,17,,CIPRO | EXPOLAB,feira|laboratórios,laboratórios|análises|saúde
2026-09-21,21,,ROG.e,feira|petróleo e gás,petróleo|gás|energia
2026-09-22,22,,Paving Expo,feira|pavimentação,pavimentação|asfalto|construção
2026-09-22,22,,TRANSMODAL GOIÁS,feira|logística,logística|transporte|goiás
2026-09-23,23,,CONAREC,congresso|refrigeração,refrigeração|ar condicionado|HVAC
2026-09-23,23,,in-cosmetics Latin America,feira|cosméticos,cosméticos|ingredientes|beleza
2026-09-28,28,,Analitica Latin America,feira|laboratórios,laboratórios|análises|científico
2026-09-28,28,,ABRAFATI Show,feira|tintas,tintas|vernizes|revestimentos
2026-09-29,29,,Modern Construction Show,feira|construção,construção|tecnologia|inovação
2026-09-29,29,,RIOPARTS,feira|autopeças,autopeças|automotivo|rio de janeiro
2026-09-30,30,,MinasParts,feira|autopeças,autopeças|automotivo|minas gerais
2026-09-30,30,,ABAV EXPO,feira|turismo,turismo|viagens|agências
2026-10-01,01,,Agrominas,feira|agropecuário,agro|minas gerais|tecnologia
2026-10-01,01,,Forcafé,feira|café,café|agro|minas gerais
2026-10-01,01,,Automotive Business Experience,congresso|automotivo,automotivo|negócios|indústria
2026-10-05,05,,LAVTECH,feira|lavanderia,lavanderia|limpeza|hotelaria
2026-10-05,05,,Maquintex + Signs Norte e Nordeste + Pack&Graph,feira|gráfica e embalagens,gráfica|embalagens|sinalização|nordeste
2026-10-06,06,,ProWine São Paulo,feira|vinhos,vinhos|bebidas|gastronomia
2026-10-06,06,,FUTURECOM,feira|telecomunicações,telecom|tecnologia|conectividade
2026-10-06,06,,Data Center World Brasil,feira|data center,data center|cloud|infraestrutura
2026-10-06,06,,FEBRAVA RIO,feira|refrigeração,refrigeração|ar condicionado|HVAC
2026-10-06,06,,FISP – FISST,feira|segurança do trabalho,segurança|trabalho|EPI
2026-10-06,06,,EXPO ABTCP,feira|papel e celulose,papel|celulose|indústria
2026-10-07,07,,MRO BRASIL,feira|manutenção aeronáutica,aviação|manutenção|MRO
2026-10-07,07,,Congresso SAE BRASIL,congresso|engenharia automotiva,automotivo|engenharia|tecnologia
2026-10-09,09,,Brasil Game Show (BGS),feira|games,games|entretenimento|tecnologia
2026-10-14,14,,CONSTRULEV Expo,feira|construção,construção|leve|steel frame
2026-10-15,15,,Enflor | Garden Fair,feira|flores e plantas,flores|plantas|jardinagem|paisagismo
2026-10-18,18,,Diabetes On – São Paulo,congresso|saúde,diabetes|saúde|medicina
2026-10-18,18,,Professional Fair RJ,feira|beleza,beleza|estética|profissional
2026-10-19,19,,Feira do Empreendedor do SEBRAE-SP,feira|empreendedorismo,empreendedorismo|negócios|sebrae
2026-10-19,19,,NT EXPO,feira|tecnologia,tecnologia|TI|inovação
2026-10-20,20,,ECO EXPO (Ex-Waste Expo Brasil),feira|sustentabilidade,sustentabilidade|reciclagem|meio ambiente
2026-10-20,20,,FENASAN,feira|saneamento,saneamento|meio ambiente|água
2026-10-20,20,,HIGIEXPO,feira|limpeza,limpeza|higiene|produtos
2026-10-20,20,,Seafood Show Latin America,feira|frutos do mar,frutos do mar|pesca|gastronomia
2026-10-20,20,,ONDM – O Negócio da Moda – Edição Brasil,feira|moda,moda|vestuário|negócios
2026-10-21,21,,HOSPITALMED,feira|saúde,saúde|hospitalar|nordeste
2026-10-21,21,,ARENA M&T,feira|mineração,mineração|equipamentos|tecnologia
2026-10-27,27,,FENALAW,congresso|direito,direito|advocacia|jurídico
2026-10-27,27,,Brazil Windpower,feira|energia eólica,energia eólica|sustentabilidade|tecnologia
2026-10-27,27,,AveSui,feira|avicultura,avicultura|suinocultura|agro
2026-10-27,27,,TUBOTECH,feira|tubos,tubos|tubulações|indústria
2026-10-27,27,,WIRE Brasil,feira|arames e cabos,arames|cabos|fios|indústria
2026-10-28,28,,FruitBrasil,feira|frutas,frutas|hortaliças|agro
2026-10-28,28,,Enerclean,feira|energia limpa,energia|sustentabilidade|tecnologia
2026-10-30,30,,Salão do Automóvel,feira|automotivo,automóveis|veículos|carros|automotivo
2026-11-01,01,,Bienal do Livro Rio,feira|livros,livros|literatura|cultura|rio de janeiro
2026-11-04,04,,Feira SUPER MIX,feira|varejo,varejo|supermercados|nordeste
2026-11-04,04,,HFN- HOTEL & FOOD NORDESTE,feira|hotelaria,hotelaria|gastronomia|nordeste
2026-11-09,09,,FENATRAN,feira|transporte,transporte|veículos|logística
2026-11-10,10,,BFSHOW – 6ª edição,feira|beleza,beleza|estética|cosméticos
2026-11-11,11,,REPARASUL,feira|automotivo,automotivo|reparação|peças
2026-11-12,12,,FESTURIS,feira|turismo,turismo|viagens|gramado
2026-11-12,12,,ExpoFrísia,feira|agropecuário,agro|leite|paraná
2026-11-15,15,,Feira Petnor,feira|pet,pet|animais|nordeste
2026-11-15,15,,Barber Week,feira|barbearia,barbearia|beleza|masculino
2026-11-20,20,,EXPO CANNABIS BRASIL,feira|cannabis,cannabis|medicinal|indústria
2026-11-23,23,,EXPOLOG,feira|logística,logística|transporte|ceará
2026-11-25,25,,EXPO MOTORHOME,feira|motorhome,motorhome|turismo|lazer
2026-11-25,25,,Tomorrow.Blue Economy,congresso|economia azul,economia|sustentabilidade|oceano
2026-12-03,03,,CCXP,feira|cultura pop,cultura pop|entretenimento|games
2026-12-04,04,,VegFest,feira|veganismo,veganismo|alimentação|sustentabilidade
